Ref,Val,Package,PosX,PosY,Rot,Side
"BR1","DF04S","SOP510P1040X260-4N",116.325000,-89.000000,180.000000,top
"C1","1000 uF","CP_Radial_D12.5mm_P5.00mm",115.000000,-99.275000,-90.000000,top
"C2","220uF","CP_Radial_D10.0mm_P5.00mm",152.500000,-99.632300,-90.000000,top
"C3","0.1uF","C_0603_1608Metric",123.500000,-104.225000,90.000000,top
"C4","0.0033uF","C_0402_1005Metric",136.500000,-98.480000,-90.000000,top
"C5","0.1uF","C_0603_1608Metric",138.000000,-99.000000,-90.000000,top
"D1","SS34","D_SMA",131.000000,-103.775000,0.000000,top
"D2","LED","LED_0402_1005Metric",146.000000,-105.515000,90.000000,top
"D3","LED","LED_0402_1005Metric",162.000000,-130.000000,90.000000,top
"D4","LED","LED_0402_1005Metric",167.000000,-129.985000,90.000000,top
"D5","LED","LED_0402_1005Metric",172.000000,-129.985000,90.000000,top
"D6","LED","LED_0402_1005Metric",177.000000,-129.985000,90.000000,top
"D7","LED","LED_0402_1005Metric",182.000000,-130.000000,90.000000,top
"D8","LED","LED_0402_1005Metric",187.000000,-130.015000,90.000000,top
"D9","LED","LED_0402_1005Metric",192.000000,-129.985000,90.000000,top
"D10","LED","LED_0402_1005Metric",197.000000,-130.015000,90.000000,top
"D11","LED","LED_0402_1005Metric",202.000000,-130.015000,90.000000,top
"D12","LED","LED_0402_1005Metric",207.000000,-130.015000,90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal",103.980000,-87.000000,-90.000000,top
"J2","Screw_Terminal_01x11","TerminalBlock_Phoenix_MKDS-1,5-11_1x11_P5.00mm_Horizontal",159.000000,-146.500000,0.000000,top
"L1","33uH","L_Vishay_IHLP-5050",145.500000,-89.775000,0.000000,top
"R1","510","R_0805_2012Metric",137.000000,-105.412500,-90.000000,top
"R2","1k","R_1206_3216Metric",146.000000,-100.000000,-90.000000,top
"RN1","4816P-T02-681LF","SOIC127P762X240-16N",173.000000,-121.500000,-90.000000,top
"RN2","4816P-T02-681LF","SOIC127P762X240-16N",197.000000,-121.500000,-90.000000,top
"RV1","10k","RES3_PV36W103C01B00_BRN",142.000000,-105.040000,90.000000,top
"U1","ESP32_DevKit_V1_DOIT","esp32_devkit_v1",164.290000,-97.500000,90.000000,top
"U2","~","OR-M4XXA",162.040000,-132.500000,-90.000000,top
"U3","~","OR-M4XXA",167.040000,-132.500000,-90.000000,top
"U4","~","OR-M4XXA",172.040000,-132.500000,-90.000000,top
"U5","~","OR-M4XXA",177.040000,-132.500000,-90.000000,top
"U6","~","OR-M4XXA",182.040000,-132.500000,-90.000000,top
"U7","~","OR-M4XXA",187.040000,-132.500000,-90.000000,top
"U8","~","OR-M4XXA",192.040000,-132.500000,-90.000000,top
"U9","~","OR-M4XXA",197.040000,-132.500000,-90.000000,top
"U10","~","OR-M4XXA",202.040000,-132.500000,-90.000000,top
"U11","~","OR-M4XXA",207.040000,-132.500000,-90.000000,top
"U12","LM2596S-ADJ","TO-263-5_TabPin3",130.100000,-90.125000,90.000000,top
